Key	Type	Desc	English	Français
Achievements/PetColors	Text		Gotta catch 'em all!	Attrapez-les tous!
Achievements/PetMaxLevel	Text		Pet Prodigy	Prodige animalier
Achievements/SitOnCavelingToiletWithACrown	Text		A Throne Fit for a King	Un trône digne d'un roi
Achievements/StormSong	Text		A Strange Song	Une chanson étrange
Achievements/TalkToBigLarva	Text		Gossip Group	De vraies commères
AchievementsLockedDescription/CatchStarlightNautilus	Text		Catch a Starlight Nautilus	Attraper un Coquillage stellaire
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Defeat an Atlantean Worm	Vaincre le Ver Atlantéen
AchievementsLockedDescription/DefeatAzeos	Text		Defeat Azeos the Sky Titan	Vaincre Azeos le Titan du ciel
AchievementsLockedDescription/DefeatGhorm	Text		Defeat Ghorm the Devourer	Vaincre Ghorm le Dévoreur
AchievementsLockedDescription/DefeatGlurch	Text		Defeat Glurch the Abominous Mass	Vaincre Glurch la masse abominable
AchievementsLockedDescription/DefeatHivemother	Text		Defeat The Hive Mother	Vaincre la Ruche-Mère
AchievementsLockedDescription/DefeatIgneous	Text		Defeat Igneous the Molten Mass	Vaincre Igneous la masse en fusion
AchievementsLockedDescription/DefeatIvy	Text		Defeat Ivy the Poisonous Mass	Vaincre Ivy la masse empoisonnée
AchievementsLockedDescription/DefeatKingSlime	Text		Defeat King Slime	Vaincre le Roi Slime
AchievementsLockedDescription/DefeatMalugaz	Text		Defeat Malugaz the Corrupted	Vaincre Malugaz le Corrompu
AchievementsLockedDescription/DefeatMorpha	Text		Defeat Morpha the Aquatic Mass	Vaincre Morpha la masse aquatique
AchievementsLockedDescription/DefeatOmoroth	Text		Defeat Omoroth the Sea Titan	Vaincre Omoroth le Titan des mers
AchievementsLockedDescription/DefeatRaAkar	Text		Defeat Ra-Akar the Sand Titan	Vaincre Ra-Akar le Titan des sables
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Discover 100 recipes in the cook book	Découvrez 100 recettes dans le livre de cuisine
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equip the Ring of Rock and Ring of Stone	Équipez l'anneau de roche et l'anneau de pierre
AchievementsLockedDescription/FeedCattle	Text		Feed cattle	Nourrir du bétail
AchievementsLockedDescription/FirstPet	Text		Hatch your first pet from an egg	Faites éclore votre premier animal de compagnie à partir d'un œuf
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Gain over 200% movement speed	Gagnez plus de 200% de vitesse de déplacement
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Harvest a golden plant	Récolter une plante dorée
AchievementsLockedDescription/KeyArtCharacter	Text		Dress like a character from the official illustrations	Habillez-vous comme un personnage des illustrations officielles
AchievementsLockedDescription/MaxedOutCooking	Text		Gain 100 skill points in cooking	Gagnez 100 points de compétence en cuisine
AchievementsLockedDescription/MaxedOutCrafting	Text		Gain 100 skill points in crafting	Gagnez 100 points de compétence en artisanat
AchievementsLockedDescription/MaxedOutFishing	Text		Gain 100 skill points in fishing	Gagnez 100 points de compétence en pêche
AchievementsLockedDescription/MaxedOutGardening	Text		Gain 100 skill points in gardening	Gagnez 100 points de compétence en jardinage
AchievementsLockedDescription/MaxedOutMelee	Text		Gain 100 skill points in melee	Gagnez 100 points de compétence en combat au corps à corps
AchievementsLockedDescription/MaxedOutMining	Text		Gain 100 skill points in mining	Gagnez 100 points de compétence en minage
AchievementsLockedDescription/MaxedOutRange	Text		Gain 100 skill points in range	Gagnez 100 points de compétence en combat à distance
AchievementsLockedDescription/MaxedOutRunning	Text		Gain 100 skill points in running	Gagnez 100 points de compétence en course
AchievementsLockedDescription/MaxedOutVitality	Text		Gain 100 skill points in vitality	Gagnez 100 points de compétence en vitalité
AchievementsLockedDescription/ObtainPhantomSpark	Text		Obtain Phantom Spark	Obtenir l'Étincelle fantôme
AchievementsLockedDescription/ObtainRuneSong	Text		Obtain Rune Song	Obtenir le Chant Runique
AchievementsLockedDescription/ObtainSoulSeeker	Text		Obtain Soul Seeker	Obtenir la Chercheuse d'Âme
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Obtain the Oracle Card deck	Obtenir le jeu de cartes de l'Oracle
AchievementsLockedDescription/PetColors	Text		Store all color variations of one pet type in a chest	Stocker toutes les variations de couleur d'un type de familier dans un coffre
AchievementsLockedDescription/PetMaxLevel	Text		Reach max level on a pet	Atteindre le niveau maximum d'un animal de compagnie
AchievementsLockedDescription/PlantCherryTree	Text		Plant 10 Cherry Trees	Plantez 10 cerisiers
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Sit on a Caveling Toilet while wearing a crown	Asseyez-vous sur une toilette Cavelin tout en portant une couronne
AchievementsLockedDescription/StormSong	Text		Play the Tune of Tempest	Jouer l'air de la Tempête
AchievementsLockedDescription/TalkToBigLarva	Text		Talk to a Big Larva	Parlez à une grosse larve
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Caught a Starlight Nautilus	Attraper un Coquillage stellaire
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Text		Defeated an Atlantean Worm	Vaincre le Ver Atlantéen
AchievementsUnlockedDescription/DefeatAzeos	Text		Defeated Azeos the Sky Titan	A vaincu Azeos le Titan du Ciel
AchievementsUnlockedDescription/DefeatGhorm	Text		Defeated Ghorm the Devourer	Vous avez vaincu Ghorm le Dévoreur
AchievementsUnlockedDescription/DefeatGlurch	Text		Defeated Glurch the Abominous Mass	Vous avez vaincu Glurch la masse abominable
AchievementsUnlockedDescription/DefeatHivemother	Text		Defeated The Hive Mother	Vous avez vaincu la Ruche-Mère
AchievementsUnlockedDescription/DefeatIgneous	Text		Defeated Igneous the Molten Mass	Vous avez vaincu Igneous la Masse en fusion
AchievementsUnlockedDescription/DefeatIvy	Text		Defeated Ivy the Poisonous Mass	Vous avez vaincu Ivy la masse empoisonnée
AchievementsUnlockedDescription/DefeatKingSlime	Text		Defeated King Slime	Vous avez vaincu le Roi Slime
AchievementsUnlockedDescription/DefeatMalugaz	Text		Defeated Malugaz the Corrupted	Vous avez vaincu Malugaz le Corrompu
AchievementsUnlockedDescription/DefeatMorpha	Text		Defeated Morpha the Aquatic Mass	Vous avez vaincu Morpha la masse aquatique
AchievementsUnlockedDescription/DefeatOmoroth	Text		Defeated Omoroth the Sea Titan	Vous avez vaincu Omoroth le Titan des mers
AchievementsUnlockedDescription/DefeatRaAkar	Text		Defeated Ra-Akar the Sand Titan	Vous avez vaincu Ra-Akar le Titan des sables
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Discovered 100 recipes in the cook book	Découverte de 100 recettes dans le livre de cuisine
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Equipped the Ring of Rock and Ring of Stone	Vous équiper de l'anneau de roche et de l'anneau de pierre
AchievementsUnlockedDescription/FeedCattle	Text		Fed cattle	Bétail nourri
AchievementsUnlockedDescription/FirstPet	Text		Hatched your first pet from an egg	Éclosion de votre premier animal de compagnie à partir d'un œuf
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Gained over 200% movement speed	Avoir plus de 200 % de vitesse de déplacement
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Harvested a golden plant	Récolter une plante dorée
AchievementsUnlockedDescription/KeyArtCharacter	Text		Dressed like a character from the official illustrations	Habillé comme un personnage des illustrations officielles
AchievementsUnlockedDescription/MaxedOutCooking	Text		Gained 100 skill points in cooking	A gagné 100 points de compétence en cuisine
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Gained 100 skill points in crafting	A gagné 100 points de compétence en artisanat
AchievementsUnlockedDescription/MaxedOutFishing	Text		Gained 100 skill points in fishing	A gagné 100 points de compétence en pêche
AchievementsUnlockedDescription/MaxedOutGardening	Text		Gained 100 skill points in gardening	A obtenu 100 points de compétence en jardinage
AchievementsUnlockedDescription/MaxedOutMelee	Text		Gained 100 skill points in melee	A gagné 100 points de compétence en mêlée
AchievementsUnlockedDescription/MaxedOutMining	Text		Gained 100 skill points in mining	A gagné 100 points de compétence en minage
AchievementsUnlockedDescription/MaxedOutRange	Text		Gained 100 skill points in range	A gagné 100 points de compétence à portée
AchievementsUnlockedDescription/MaxedOutRunning	Text		Gained 100 skill points in running	A gagné 100 points de compétence en course à pied
AchievementsUnlockedDescription/MaxedOutVitality	Text		Gained 100 skill points in vitality	A gagné 100 points de compétence en vitalité
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Obtained Phantom Spark	Étincelle Fantôme obtenue
AchievementsUnlockedDescription/ObtainRuneSong	Text		Obtained Rune Song	Chanson Runique obtenue
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Obtained Soul Seeker	Chercheuse d'Âme obtenue
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Obtained the Oracle Card deck	Obtention du jeu de cartes de l'Oracle
AchievementsUnlockedDescription/PetColors	Text		Stored all color variations of one pet type in a chest	Stockage de toutes les variations de couleur d'un type de familier dans un coffre
AchievementsUnlockedDescription/PetMaxLevel	Text		Reached max level on a pet	Atteint le niveau maximum d'un familier
AchievementsUnlockedDescription/PlantCherryTree	Text		Planted 10 Cherry Trees	Planté 10 cerisiers
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Sat on a Caveling Toilet while wearing a crown	Assis sur une toilette Cavelin tout en portant une couronne
AchievementsUnlockedDescription/StormSong	Text		Played the Tune of Tempest	Joue l'air de la Tempête
AchievementsUnlockedDescription/TalkToBigLarva	Text		Talked to a Big Larva	Parlé à une grosse larve
Advanced	Text		Advanced	Avancé
AvailableInEarlyAccess	Text		Will be available at Early Access launch	Sera disponible au lancement de l'accès anticipé
BetaVersion	Text	{0} will be replaced by the version number	{0} Beta Version	{0} Version bêta
BiomeNames/Crystal	Text		The Shimmering Frontier	La frontière scintillante
BiomeNames/Desert	Text		The Desert of Beginnings	Le Désert du Commencements
BiomeNames/Larva	Text		The Clay Caves	Les Grottes d'Argile
BiomeNames/Nature	Text		Azeos' Wilderness	La Forêt d'Azeos
BiomeNames/Sea	Text		The Sunken Sea	La Mer Engloutie
BiomeNames/Slime	Text		The Undergrounds	Les Souterrains
BiomeNames/Stone	Text		The Forgotten Ruins	Les Ruines Oubliées
BreastVanitySlot	Text		Chest vanity slot	Emplacement cosmétique pour armure
CageCattle	Text		Capture a cattle	Capture du bétail
CanBePutIntoEnemySpawnerPlatform	Text		Figurine slot	Emplacement pour figurine
CanBePutIntoEnemySpawnerPlatformDesc	Text		Putting a non-boss figurine in the slot and powering the Materializer with electricity will create a clone of the enemy represented by the figurine.	En plaçant une figurine qui n'est pas un boss dans l'emplacement et en alimentant le matérialiseur en électricité, vous créerez un clone de l'ennemi représenté par la figurine.
CardinalDirections/East	Text		east	est
CardinalDirections/North	Text		north	nord
CardinalDirections/NorthEast	Text		north east	nord-est
CardinalDirections/NorthWest	Text		north west	nord-ouest
CardinalDirections/South	Text		south	sud
CardinalDirections/SouthEast	Text		south east	sud-est
CardinalDirections/SouthWest	Text		south west	sud-ouest
CardinalDirections/Undefined	Text		undefined	indéfini
CardinalDirections/West	Text		west	ouest
CasualMode	Text		Casual	Casual
CasualModeDesc	Text		Encounter gentler monsters in a relaxed, enjoyable setting.	Rencontrez des monstres plus doux dans un cadre détendu et agréable.
CattleStatus/Full	Text		The animal is very happy, full and producing.	L'animal est très heureux, rassasié et productif.
CattleStatus/FullBaby	Text		The young animal is very happy, full and producing.	Le jeune animal est très heureux, rassasié et productif.
CattleStatus/HungryCattleKelpFood	Text		The animal is hungry for kelp.	L'animal a faim de d'algues.
CattleStatus/HungryCattlePlantFood	Text		The animal is hungry for plants.	L'animal a faim de plantes.
CattleStatus/HungryInsect	Text		The animal is hungry for small insects.	L'animal a faim de petits insectes.
CattleStatus/MediumHungry	Text		The animal is happy, fairly full and producing.	L'animal est heureux, rassasié et productif.
CattleStatus/MediumHungryBaby	Text		The young animal is happy, fairly full and producing.	Le jeune animal est heureux, assez rassasié et productif.
CattleStatus/NameFull	Text		{0} is very happy, full and producing.	{0} est très heureux, rassasié et productif.
CattleStatus/NameFullBaby	Text		{0} is very happy, full and producing.	{0} est très heureux, rassasié et productif.
CattleStatus/NameHungryCattleKelpFood	Text		{0} is hungry for kelp.	{0} a faim de d'algues.
CattleStatus/NameHungryCattlePlantFood	Text		{0} is hungry for plants.	{0} a faim de plantes.
CattleStatus/NameHungryInsect	Text		{0} is hungry for small insects.	{0} a faim de petits insectes.
CattleStatus/NameMediumHungry	Text		{0} is happy, fairly full and producing.	{0} est heureux, rassasié et productif.
CattleStatus/NameMediumHungryBaby	Text		{0} is happy, fairly full and producing.	{0} est heureux, rassasié et productif.
CombineMaterials	Text		Combine the materials	Combinez les matériaux
ConditionEffect/ApplyBurning	Text		{0} burn damage	{0} dégâts de brûlure
ConditionEffect/ApplyDamageEverySecond	Text		{0} damage every sec	{0} dégâts toutes les secondes
ConditionEffect/ApplyPoisoned	Text		Poisonous, reduces healing received by 75%	Toxique
ConditionEffect/ApplySlowedBySlime	Text		Slows down targets movement speed by {0}% for 4 sec	Ralentit la vitesse de déplacement des cibles de {0}% pendant 4 s
ConditionEffect/Armor	Text		{0} armor	{0} armure
ConditionEffect/ArmorPercentage	Text		{0}% armor	{0}% d'armure
ConditionEffect/ChanceOnHitToKnockback	Text		{0}% knockback chance	{0}% de chances de recul
ConditionEffect/ChanceToGainExtraCookedFood	Text		{0}% extra cooked food chance	{0}% de chances supplémentaires d'aliments cuits
ConditionEffect/CritChance	Text		{0}% critical hit chance	{0}% de chances de coup critique
ConditionEffect/CriticalDamagePercentage	Text		{0}% critical hit damage	{0}% de dégâts critiques
ConditionEffect/DamageEverySecond	Text		{0} damage every sec	{0} dégâts toutes les secondes
ConditionEffect/DamageEveryThirdSecond	Text		{0} damage every third sec	{0} dégâts toutes les trois secondes
ConditionEffect/DodgeChance	Text		{0}% dodge chance	{0}% de chances d'esquiver
ConditionEffect/ExplosivesDamage	Text		{0}% explosives damage	{0}% de dégâts d'explosion
ConditionEffect/Fishing	Text		{0} fishing	{0} pêche
ConditionEffect/Glowing	Text		{0} glow	{0} lueur
ConditionEffect/HarvestChance	Text		{0}% extra harvest chance	{0}% de chances de récolte supplémentaires
ConditionEffect/HealOverTime	Text		{0} health every sec	{0} points de vie toutes les secondes
ConditionEffect/Health	Text		{0} health	{0} santé
ConditionEffect/Hunger	Text		{0} food	{0} nourriture
ConditionEffect/ImmuneToSlimeSlow	Text		Immune to being slowed by slime	Immunisé contre le ralentissement par le slime
ConditionEffect/LifeOnHit	Text		{0} life on melee hit	{0} vie en cas de coup mêlée
ConditionEffect/MaxHealth	Text		{0} max health	{0} santé maximale
ConditionEffect/MeleeAttackSpeed	Text		{0}% melee speed	{0}% de vitesse de mêlée
ConditionEffect/MeleeDamage	Text		{0}% melee damage	{0}% de dégâts de mêlée
ConditionEffect/Mining	Text		{0} mining damage	{0} dégâts de minage
ConditionEffect/MiningSpeed	Text		{0}% mining speed	{0}% de vitesse de minage
ConditionEffect/MovementSpeed	Text		{0}% movement speed	{0}% de vitesse de déplacement
ConditionEffect/Poisoned	Text		75% reduced healing received	75% de réduction des soins reçus
ConditionEffect/RangeAttackSpeed	Text		{0}% range speed	{0}% de vitesse d'attaque à distance
ConditionEffect/RangeDamage	Text		{0}% range damage	{0}% de dégâts à distance
ConditionEffect/ReducedDamageFromBosses	Text		{0}% boss damage reduction	{0}% de réduction des dégâts des boss
ConditionEffect/ThornsDamage	Text		{0} thorns damage	{0} dégâts d'épines
ConditionEffectDesc/ApplyBurning	Text		Applies burning to enemies you deal damage to. The burning effect damages the enemy every other second for {0} damage.	Applique Brûlure aux ennemis auxquels vous infligez des dégâts. L'effet de brûlure endommage l'ennemi toutes les deux secondes pour {0} points de dégâts.
ConditionEffectDesc/Armor	Text		Reduces damage taken up to a maximum of {0} damage. Enemies always deal a minimum 25% of their damage.	Réduit les dégâts subis jusqu'à un maximum de {0} dégâts. Les ennemis infligent toujours au moins 25 % de leurs dégâts.
ConditionEffectDesc/ChanceOnHitToKnockback	Text		Melee attacks have a {0}% chance to knockback enemies.	Les attaques de mêlée ont {0}% de chances de repousser les ennemis.
ConditionEffectDesc/ChanceToGainExtraCookedFood	Text		Grabbing cooked food from the cooking pot has a {0}% chance to gain an additional cooked food per cooked food grabbed.	Rammasser des aliments cuits dans la marmite a {0}% par aliment d'en donner un de plus.
ConditionEffectDesc/CritChance	Text		Attacks have a {0}% chance to deal 50% extra damage.	Les attaques ont {0}% de chances d'infliger 50 % de dégâts supplémentaires.
ConditionEffectDesc/CriticalDamagePercentage	Text		Deal {0}% more damage on critical hits. Base critical hit damage is 50%.	Inflige {0}% de dégâts supplémentaires en coups critiques. Les dégâts de base des coups critiques sont de 50 %.
ConditionEffectDesc/DodgeChance	Text		{0}% chance to dodge any attack. Maximum dodge chance is 90%.	{0}% de chances d'esquiver n'importe quelle attaque. Les chances d'esquiver maximales sont de 90 %.
ConditionEffectDesc/ExplosivesDamage	Text		Explosives deal {0}% more damage.	Les explosifs infligent {0}% de dégâts supplémentaires.
ConditionEffectDesc/Fishing	Text		A higher fishing allows catching fish in higher level areas while also making fish easier to catch.	Une pêche plus élevée permet d'attraper du poisson dans des zones de niveau supérieur tout en facilitant la capture du poisson.
ConditionEffectDesc/Glowing	Text		Produces a glow reaching up to {0} tiles away.	Produit une lueur atteignant jusqu'à {0} tuiles.
ConditionEffectDesc/HarvestChance	Text		Harvesting has {0}% chance to yield 1 extra plant.	La récolte a {0}% de chances de produire 1 plante supplémentaire.
ConditionEffectDesc/HealOverTime	Text		Gains {0} health every second.	Gagne {0} points de vie chaque seconde.
ConditionEffectDesc/LifeOnHit	Text		Gains {0} health when hitting an enemy with a melee attack.	Gagne {0} points de vie lorsque vous touchez un ennemi avec une attaque de mêlée.
ConditionEffectDesc/MaxHealth	Text		Maximum amount of health is {0}.	Le montant maximum de santé est de {0}.
ConditionEffectDesc/MeleeAttackSpeed	Text		You hit {0}% faster with melee weapons.	Vous frappez {0}% plus rapidement avec les armes de mêlée.
ConditionEffectDesc/MeleeDamage	Text		Melee attacks deal {0}-{1} damage.	Les attaques de mêlée infligent {0}-{1} dégâts.
ConditionEffectDesc/Mining	Text		Deals {0} damage to walls and objects that require mining to be destroyed.	Inflige {0} dégâts aux murs et aux objets qui nécessitent d'être minés pour être détruits.
ConditionEffectDesc/MiningSpeed	Text		You hit {0}% faster with pickaxes.	Vous frappez {0}% plus vite avec des pioches.
ConditionEffectDesc/MovementSpeed	Text		Moves at {0}% of base movement speed.	Se déplace à {0}% de la vitesse de déplacement de base.
ConditionEffectDesc/RangeAttackSpeed	Text		You shoot {0}% faster with range weapons.	Vous tirez {0}% plus vite avec des armes à distance.
ConditionEffectDesc/RangeDamage	Text		Ranged attacks deal {0}-{1} damage.	Les attaques à distance infligent {0}-{1} dégâts.
ConditionEffectDesc/ReducedDamageFromBosses	Text		Reduces damage taken from bosses by {0}%.	Réduit les dégâts subis par les boss de {0}%.
ConditionEffectDesc/ThornsDamage	Text		Melee attackers take {0} damage when attacking.	Les attaquants de mêlée subissent {0} points de dégâts lorsqu'ils attaquent.
Conditions/AcidDamage	Text		{0} acid damage every sec, ignores armor	{0} dégâts d'acide toutes les secondes
Conditions/AdditionalChanceOnCritToSpawnThunderBeam	Text		{0}% additional chance to trigger Azeos' soul power	{0}% de chances supplémentaires de déclencher le pouvoir de l'âme d'Azeos
Conditions/AdditionalChanceOnHitToSpawnScarabBossProjectile	Text		{0}% additional chance to trigger Ra-Akar's soul power	{0}% de chances supplémentaires de déclencher le pouvoir de l'âme de Ra-Akar
Conditions/AdditionalChanceOnRangeHitToSpawnOctopusBossProjectile	Text		{0}% additional chance to trigger Omoroth's soul power	{0}% de chances supplémentaires de déclencher le pouvoir de l'âme d'Omoroth
Conditions/AllDamageIncrease	Text		{0}% damage	{0}% de dégâts
Conditions/ApplyBurning	Text		{0} burn damage applied on hit	{0} dégâts de brûlure appliqués au coup
Conditions/ApplyPetAttackSpeedIncrease	Text		{0}% attack speed for your pet	{0}% de vitesse d'attaque pour votre familiers
Conditions/ApplyPetBuffsIncrease	Text		{0}% effectiveness of your pets talent effects	{0}% d'efficacité des effets des talents de vos familiers
Conditions/ApplyPetCritChanceIncrease	Text		{0}% critical hit chance for your pet	{0}% de chances de coup critique pour votre familier
Conditions/ApplyPetCritDamageIncrease	Text		{0}% critical hit damage for your pet	{0}% de dégâts sur les coups critiques pour votre familier
Conditions/ApplyPetDamageIncrease	Text		{0}% damage dealt by your pet	{0}% des dégâts infligés par votre familier
Conditions/ApplySlipperyMovementWhenHit	Text		Melee attackers become slippery when attacking you	Les attaquants de mêlée deviennent glissants lorsqu'ils vous attaquent
Conditions/ApplySlowedBySlime	Text		Slows down targets movement speed by {0}% for 4 sec	Ralentit la vitesse de déplacement des cibles de {0}% pendant 4 s
Conditions/ApplySnare	Text		Ensnare	Enserrer
Conditions/ArmorIncrease	Text	"Text shown on gear stat or buff, for example ""+45 armor"" where {0} is replaced with the number"	{0} armor	{0} armure
Conditions/ArmorIncreaseFromMovementSpeed	Text		{0}% armor of current movement speed increase	Augmentation de {0}% de l'armure par rapport a la vitesse de déplacement actuelle
Conditions/ArmorPercentageIncrease	Text		{0}% armor	{0}% d'armure
Conditions/AttackSpeed	Text		{0}% melee and range attack speed	{0}% de vitesse d'attaque en mêlée et à distance
Conditions/AuraApplyBurning	Text		All nearby enemies burn for {0} damage every other sec	Tous les ennemis proches brûlent et infligent {0} points de dégâts toutes les 2 secondes
Conditions/AuraApplyDamageDecrease	Text		{0}% damage dealt by all nearby enemies	{0}% de dégâts infligés par tous les ennemis proches
Conditions/AuraApplyDamageIncrease	Text		{0}% damage dealt by you and all nearby allies	{0}% de dégâts infligés par vous et tous les alliés à proximité
Conditions/AuraApplyHealingOverTime	Text		{0} health every sec to you and all nearby allies	{0} points de vie par seconde pour vous et tous vos alliés à proximité
Conditions/AuraApplyMovementSpeedDecrease	Text		Any nearby enemies movement speed is slowed down by {0}%	La vitesse de déplacement de tous les ennemis proches est ralentie de {0}%
Conditions/AuraApplyRadioactiveDamageOverTime	Text		All nearby enemies take {0} radioactive damage every other sec	Tous les ennemis proches subissent {0} dégâts radioactifs toutes les 2 secondes
Conditions/AuraMovementSpeedDecrease	Text		{0}% movement speed from a nearby aura	{0}% de vitesse de déplacement depuis une aura proche
Conditions/AuraRadioactiveDamageOverTime	Text		{0} radioactive damage every other sec	{0} dégâts radioactifs toutes les 2 secondes
Conditions/BlueGlow	Text	"Description for items that make player glow when eating it. For example ""+5 glow"" where +5 refers to the intensity/range of the light"	{0} blue glow	{0} lueur bleue
Conditions/Burning	Text		{0} burn damage every other sec	{0} dégâts de brûlure toutes les 2 secondes
Conditions/ChanceForAdditionalOre	Text		{0}% chance to gain an additional ore from walls containing ores	{0}% de chances de gagner un minerai supplémentaire sur les murs contenant des minerais
Conditions/ChanceForExtraCookedFoodToBeRare	Text		{0}% chance for additional food gained from cooking to be rare	{0}% de chances que la nourriture supplémentaire obtenue en cuisinant soit rare
Conditions/ChanceForOreOnMiningWall	Text		{0}% chance to gain an ore that is common in the currently mined wall when destroying the wall	{0}% de chances de gagner un minerai commun dans le mur actuellement miné lors de la destruction du mur
Conditions/ChanceForPolishedJewelry	Text		{0}% chance to gain a polished version of any item crafted at the jewelry workbench	{0}% de chances d'obtenir une version raffinée de n'importe quel objet fabriqué à l'atelier de joaillerie
Conditions/ChanceForRandomLootFromWall	Text		{0}% chance to drop a valuable item from any mined wall	{0}% de chances de faire tomber un objet de valeur sur n'importe quel mur miné
Conditions/ChanceOnCritToSpawnThunderBeam	Text		{0}% chance to spawn a thunder beam on melee critical hits	{0}% de chances de générer un coup de tonnerre lors de coups critiques en mêlée
Conditions/ChanceOnHitToApplySlipperyMovement	Text		{0}% chance on hit to apply slippery movement	{0}% de chances en cas de coup d'appliquer un mouvement glissant
Conditions/ChanceOnHitToGainMeleeAttackSpeed	Text		{0}% chance on melee hit to increase melee attack speed by 50% for a short duration	{0}% de chances d'augmenter la vitesse d'attaque en mêlée de 50 % pendant une courte durée lors d'un coup en mêlée
Conditions/ChanceOnHitToIncreaseRangeDamage	Text		{0}% chance on melee hit to increase range damage by 15%	{0}% de chances d'augmenter les dégâts à distance de 15 % en cas de coup en mêlée
Conditions/ChanceOnHitToKillTargetWithLowerHealth	Text		{0}% chance on hit to kill any target that has lower health than you	{0}% de chances de tuer une cible dont la santé est inférieure à la vôtre
Conditions/ChanceOnHitToKnockback	Text		{0}% knockback chance	{0}% de chances de recul
Conditions/ChanceOnHitToSpawnScarabBossProjectile	Text		{0}% chance on melee or range hit to spawn an ancient orb that follows the hit target and deals damage on impact	{0}% de chances lors d'un coup mêlée ou à distance de faire apparaître un ancien orbe qui suit la cible touchée et inflige des dégâts à l'impact
Conditions/ChanceOnKillToSummonGhost	Text		{0}% chance to summon a ghost caveling when killing any enemy	{0}% de chances d'invoquer un cavelin fantôme en tuant un ennemi
Conditions/ChanceOnMeleeHitToStun	Text		{0}% chance to stun targets on melee hit	{0}% de chances d'étourdir les cibles en cas de coup de mêlée
